	mapping_number	sssom_subject_id	sssom_subject_category	sssom_predicate_id	sssom_object_id	sssom_object_category	sssom_mapping_justification	sssom_author_id	sssom_author_label	sssom_creator_id	sssom_creator_label	sssom_subject_type	sssom_object_type	sssom_object_source	sssom_mapping_date	sssom_object_match_field	sssom_comment	semapv_RegexRemoval	object_source_version	object_url	subject_url	object_namespace	sssom_reviewer_id	sssom_reviewer_label	sssom_subject_label	sssom_object_label	term_local_name
10	11	mids:License	mids:MIDS1	skos:narrowMatch	abcd:Unit-License-URI	abcd:Unit	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/IPRStatements/Licenses/License/URI	2024-06-26			|unknown:undigitized|unknown|Unknown	http://www.tdwg.org/schemas/abcd/2.06	http://rs.tdwg.org/abcd/terms/Unit-License-URI	https://tdwg.github.io/mids/information-elements#License	abcd					License
11	12	mids:License	mids:MIDS1	skos:narrowMatch	abcd:DataSet-License-Text	abcd:DataSet	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Metadata/IPRStatements/Licenses/License/Text	2024-06-26			|unknown:undigitized|unknown|Unknown	http://www.tdwg.org/schemas/abcd/2.06	http://rs.tdwg.org/abcd/terms/DataSet-License-Text	https://tdwg.github.io/mids/information-elements#License	abcd					License
12	13	mids:License	mids:MIDS1	skos:narrowMatch	abcd:DataSet-License-URI	abcd:DataSet	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Metadata/IPRStatements/Licenses/License/URI	2024-06-26			|unknown:undigitized|unknown|Unknown	http://www.tdwg.org/schemas/abcd/2.06	http://rs.tdwg.org/abcd/terms/DataSet-License-URI	https://tdwg.github.io/mids/information-elements#License	abcd					License
13	14	mids:Modified	mids:MIDS1	skos:narrowMatch	abcd:DataSet-DateModified	abcd:DataSet	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Metadata/RevisionData/DateModified	2024-06-24			|unknown:undigitized|unknown|Unknown	http://www.tdwg.org/schemas/abcd/2.06	http://rs.tdwg.org/abcd/terms/DataSet-DateModified	https://tdwg.github.io/mids/information-elements#Modified	abcd					Modified
14	15	mids:Modified	mids:MIDS1	skos:narrowMatch	abcd:Unit-DateLastEdited	abcd:Unit	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/DateLastEdited	2024-06-24		alternative modified date on record level	|unknown:undigitized|unknown|Unknown	http://www.tdwg.org/schemas/abcd/2.06	http://rs.tdwg.org/abcd/terms/Unit-DateLastEdited	https://tdwg.github.io/mids/information-elements#Modified	abcd					Modified
15	16	mids:QualitativeLocation	mids:MIDS2	skos:narrowMatch	abcd:Gathering-LocalityText	abcd:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/LocalityText	2024-06-26			|unknown:undigitized|unknown|Unknown	http://www.tdwg.org/schemas/abcd/2.06	http://rs.tdwg.org/abcd/terms/Gathering-LocalityText	https://tdwg.github.io/mids/information-elements#QualitativeLocation	abcd					QualitativeLocation
16	17	mids:QualitativeLocation	mids:MIDS2	skos:narrowMatch	abcd:Gathering-Country	abcd:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/Country	2024-06-26			|unknown:undigitized|unknown|Unknown	http://www.tdwg.org/schemas/abcd/2.06	http://rs.tdwg.org/abcd/terms/Gathering-Country	https://tdwg.github.io/mids/information-elements#QualitativeLocation	abcd					QualitativeLocation
17	18	mids:QualitativeLocation	mids:MIDS2	skos:narrowMatch	abcd:Biotope	abcd:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/Biotope	2024-06-26			|unknown:undigitized|unknown|Unknown	http://www.tdwg.org/schemas/abcd/2.06	http://rs.tdwg.org/abcd/terms/Biotope	https://tdwg.github.io/mids/information-elements#QualitativeLocation	abcd					QualitativeLocation
18	19	mids:QualitativeLocation	mids:MIDS2	skos:narrowMatch	abcd:Gathering-NamedArea-AreaName	abcd:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/NamedAreas/NamedArea/AreaName	2024-06-26			|unknown:undigitized|unknown|Unknown	http://www.tdwg.org/schemas/abcd/2.06	http://rs.tdwg.org/abcd/terms/Gathering-NamedArea-AreaName	https://tdwg.github.io/mids/information-elements#QualitativeLocation	abcd					QualitativeLocation
19	20	mids:QualitativeLocation	mids:MIDS2	skos:narrowMatch	abcd:Gathering-NearNamedPlace	abcd:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/AreaDetail	2024-06-26			|unknown:undigitized|unknown|Unknown	http://www.tdwg.org/schemas/abcd/2.06	http://rs.tdwg.org/abcd/terms/Gathering-NearNamedPlace	https://tdwg.github.io/mids/information-elements#QualitativeLocation	abcd					QualitativeLocation
20	21	mids:QualitativeLocation	mids:MIDS2	skos:narrowMatch	abcd:Gathering-AreaDetail	abcd:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/NearNamedPlaces/NamedPlaceRelation/NearNamedPlace	2024-06-26			|unknown:undigitized|unknown|Unknown	http://www.tdwg.org/schemas/abcd/2.06	http://rs.tdwg.org/abcd/terms/Gathering-AreaDetail	https://tdwg.github.io/mids/information-elements#QualitativeLocation	abcd					QualitativeLocation
21	22	mids:QuantitativeLocation	mids:MIDS2	owl:intersectionOf	abcd:Gathering-LatitudeDecimal	abcd:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/SiteCoordinateSets/SiteCoordinates/CoordinatesLatLong/LatitudeDecimal	2024-06-26	abcd:Gathering-LatitudeDecimal|abcd:Gathering-LongitudeDecimal	All properties in object_match_field need to be present	|unknown:undigitized|unknown|Unknown	http://www.tdwg.org/schemas/abcd/2.06	http://rs.tdwg.org/abcd/terms/Gathering-LatitudeDecimal	https://tdwg.github.io/mids/information-elements#QuantitativeLocation	abcd					QuantitativeLocation
22	23	mids:QuantitativeLocation	mids:MIDS2	owl:intersectionOf	abcd:Gathering-LongitudeDecimal	abcd:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/SiteCoordinateSets/SiteCoordinates/CoordinatesLatLong/LongitudeDecimal	2024-06-26			|unknown:undigitized|unknown|Unknown	http://www.tdwg.org/schemas/abcd/2.06	http://rs.tdwg.org/abcd/terms/Gathering-LongitudeDecimal	https://tdwg.github.io/mids/information-elements#QuantitativeLocation	abcd					QuantitativeLocation
23	24	mids:QuantitativeLocation	mids:MIDS2	skos:narrowMatch	abcd:Gathering-GML	abcd:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/GML	2024-06-26			|unknown:undigitized|unknown|Unknown	http://www.tdwg.org/schemas/abcd/2.06	http://rs.tdwg.org/abcd/terms/Gathering-GML	https://tdwg.github.io/mids/information-elements#QuantitativeLocation	abcd					QuantitativeLocation
24	25	mids:QuantitativeLocation	mids:MIDS2	skos:narrowMatch	abcd:Gathering-WFS	abcd:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/WFS	2024-06-26		WMS URL with center coordinate given	|unknown:undigitized|unknown|Unknown	http://www.tdwg.org/schemas/abcd/2.06	http://rs.tdwg.org/abcd/terms/Gathering-WFS	https://tdwg.github.io/mids/information-elements#QuantitativeLocation	abcd					QuantitativeLocation
25	26	mids:QuantitativeLocation	mids:MIDS2	skos:narrowMatch	abcd:Gathering-WMSURL	abcd:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/WMSURL	2024-06-26			|unknown:undigitized|unknown|Unknown	http://www.tdwg.org/schemas/abcd/2.06	http://rs.tdwg.org/abcd/terms/Gathering-WMSURL	https://tdwg.github.io/mids/information-elements#QuantitativeLocation	abcd					QuantitativeLocation
26	27	mids:CollectingAgent	mids:MIDS2	skos:narrowMatch	abcd:Gathering-AgentText	abcd:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/Agents/GatheringAgent/AgentText	2024-06-26			|unknown:undigitized|unknown|Unknown	http://www.tdwg.org/schemas/abcd/2.06	http://rs.tdwg.org/abcd/terms/Gathering-AgentText	https://tdwg.github.io/mids/information-elements#CollectingAgent	abcd					CollectingAgent
27	28	mids:CollectingAgent	mids:MIDS2	skos:narrowMatch	abcd:GatheringAgent-FullName	abcd:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/Agents/GatheringAgent/Person/FullName	2024-06-26			|unknown:undigitized|unknown|Unknown	http://www.tdwg.org/schemas/abcd/2.06	http://rs.tdwg.org/abcd/terms/GatheringAgent-FullName	https://tdwg.github.io/mids/information-elements#CollectingAgent	abcd					CollectingAgent
28	29	mids:CollectingAgent	mids:MIDS2	skos:narrowMatch	abcd:GatheringAgent-InheritedName	abcd:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/Agents/GatheringAgent/Person/AtomisedName/InheritedName	2024-06-26			|unknown:undigitized|unknown|Unknown	http://www.tdwg.org/schemas/abcd/2.06	http://rs.tdwg.org/abcd/terms/GatheringAgent-InheritedName	https://tdwg.github.io/mids/information-elements#CollectingAgent	abcd					CollectingAgent
29	30	mids:CollectingAgent	mids:MIDS2	skos:narrowMatch	abcd:GatheringAgentsText	abcd:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/Agents/GatheringAgentsText	2024-06-26			|unknown:undigitized|unknown|Unknown	http://www.tdwg.org/schemas/abcd/2.06	http://rs.tdwg.org/abcd/terms/GatheringAgentsText	https://tdwg.github.io/mids/information-elements#CollectingAgent	abcd					CollectingAgent
30	31	mids:DateCollected	mids:MIDS2	skos:narrowMatch	abcd:Gathering-DateTime-ISODateTimeBegin	abcd:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/DateTime/ISODateTimeBegin	2024-06-26			|unknown:undigitized|unknown|Unknown	http://www.tdwg.org/schemas/abcd/2.06	http://rs.tdwg.org/abcd/terms/Gathering-DateTime-ISODateTimeBegin	https://tdwg.github.io/mids/information-elements#DateCollected	abcd					DateCollected
31	32	mids:DateCollected	mids:MIDS2	skos:narrowMatch	abcd:Gathering-DateTime-DateText	abcd:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/DateTime/DateText	2024-06-26			|unknown:undigitized|unknown|Unknown	http://www.tdwg.org/schemas/abcd/2.06	http://rs.tdwg.org/abcd/terms/Gathering-DateTime-DateText	https://tdwg.github.io/mids/information-elements#DateCollected	abcd					DateCollected
32	33	mids:CollectingNumber	mids:MIDS2	skos:exactMatch	abcd:CollectorsFieldNumber	abcd:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/CollectorsFieldNumber	2024-06-26			|unknown:undigitized|unknown|Unknown	http://www.tdwg.org/schemas/abcd/2.06	http://rs.tdwg.org/abcd/terms/CollectorsFieldNumber	https://tdwg.github.io/mids/information-elements#CollectingNumber	abcd					CollectingNumber
33	34	mids:TypeStatus	mids:MIDS2	skos:exactMatch	abcd:SpecimenUnit-NomenclaturalTypeDesignation-TypeStatus	abcd:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/SpecimenUnit/NomenclaturalTypeDesignations/NomenclaturalTypeDesignation/TypeStatus	2024-06-26			|unknown:undigitized|unknown|Unknown	http://www.tdwg.org/schemas/abcd/2.06	http://rs.tdwg.org/abcd/terms/SpecimenUnit-NomenclaturalTypeDesignation-TypeStatus	https://tdwg.github.io/mids/information-elements#TypeStatus	abcd					TypeStatus
34	35	mids:Media	mids:MIDS2	skos:narrowMatch	abcd:MultiMediaObject-FileURI	abcd:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/MultiMediaObjects/MultiMediaObject/FileURI	2024-06-26			|unknown:undigitized|unknown|Unknown	http://www.tdwg.org/schemas/abcd/2.06	http://rs.tdwg.org/abcd/terms/MultiMediaObject-FileURI	https://tdwg.github.io/mids/information-elements#Media	abcd					Media
35	36	mids:Media	mids:MIDS2	skos:narrowMatch	abcd:MultiMediaObject-ID	abcd:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/MultiMediaObjects/MultiMediaObject/ID	2024-06-26			|unknown:undigitized|unknown|Unknown	http://www.tdwg.org/schemas/abcd/2.06	http://rs.tdwg.org/abcd/terms/MultiMediaObject-ID	https://tdwg.github.io/mids/information-elements#Media	abcd					Media
36	37	mids:MediaID	mids:MIDS3	skos:narrowMatch	abcd:Gathering-SiteImage-FileURI	abcd:Unit	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/SiteImages/SiteImage/FileURI	2024-06-26			|unknown:undigitized|unknown|Unknown	http://www.tdwg.org/schemas/abcd/2.06	http://rs.tdwg.org/abcd/terms/Gathering-SiteImage-FileURI	https://tdwg.github.io/mids/information-elements#MediaID	abcd					MediaID
37	38	mids:MediaID	mids:MIDS3	skos:narrowMatch	abcd:Gathering-SiteImage-FileID	abcd:Unit	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/SiteImages/SiteImage/FileID	2024-06-26			|unknown:undigitized|unknown|Unknown	http://www.tdwg.org/schemas/abcd/2.06	http://rs.tdwg.org/abcd/terms/Gathering-SiteImage-FileID	https://tdwg.github.io/mids/information-elements#MediaID	abcd					MediaID
38	39	mids:PhysicalSpecimenID	mids:MIDS0	skos:narrowMatch	dwc:materialSampleID	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1252|orcid:0000-0002-5669-2769	Mathias Dillen|Sam Leeflang	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	rdf property		2023-09			|unknown:undigitized|unknown|Unknown	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/materialSampleID	https://tdwg.github.io/mids/information-elements#PhysicalSpecimenID	dwc			Physical Specimen ID	Material Sample ID	PhysicalSpecimenID
39	40	mids:PhysicalSpecimenID	mids:MIDS0	skos:narrowMatch	dwc:catalogNumber	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1252	Mathias Dillen	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	rdf property		2023-09			|unknown:undigitized|unknown|Unknown	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/catalogNumber	https://tdwg.github.io/mids/information-elements#PhysicalSpecimenID	dwc			Physical Specimen ID	Catalog Number	PhysicalSpecimenID
40	41	mids:PhysicalSpecimenID	mids:MIDS0	skos:narrowMatch	dwc:otherCatalogNumbers	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1252	Mathias Dillen	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	rdf property		2023-09			|unknown:undigitized|unknown|Unknown	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/otherCatalogNumbers	https://tdwg.github.io/mids/information-elements#PhysicalSpecimenID	dwc			Physical Specimen ID	Other Catalog Numbers	PhysicalSpecimenID
41	42	mids:PhysicalSpecimenID	mids:MIDS0	skos:narrowMatch	dwc:occurrenceID	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-5669-2769	Sam Leeflang	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	rdf property		2023-09			|unknown:undigitized|unknown|Unknown	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/occurrenceID	https://tdwg.github.io/mids/information-elements#PhysicalSpecimenID	dwc			Physical Specimen ID	Occurrence ID	PhysicalSpecimenID
42	43	mids:PhysicalSpecimenID	mids:MIDS0	skos:narrowMatch	dwc:materialEntityID	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3090-1761	Wouter Addink	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	rdf property		2023-09			|unknown:undigitized|unknown|Unknown	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/materialEntityID	https://tdwg.github.io/mids/information-elements#PhysicalSpecimenID	dwc			Physical Specimen ID	Material Entity ID	PhysicalSpecimenID
43	44	mids:Organization	mids:MIDS0	skos:narrowMatch	dwc:ownerInstitutionCode	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1252	Mathias Dillen	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	rdf property		2023-09			|unknown:undigitized|unknown|Unknown	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/ownerInstitutionCode	https://tdwg.github.io/mids/information-elements#Organization	dwc			Organization	Owner Institution Code	Organization
44	45	mids:Organization	mids:MIDS0	skos:narrowMatch	dwc:institutionID	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1252|orcid:0000-0002-5669-2769	Mathias Dillen|Sam Leeflang	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	rdf property		2023-09			|unknown:undigitized|unknown|Unknown	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/institutionID	https://tdwg.github.io/mids/information-elements#Organization	dwc			Organization	Institution ID	Organization
45	46	mids:Organization	mids:MIDS0	skos:narrowMatch	dwc:institutionCode	dwc:Occurrence	semapv:HumanCuration	orcid:0000-0002-3973-1252|orcid:0000-0002-5669-2769	Mathias Dillen|Sam Leeflang	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	rdf property		2023-09			|unknown:undigitized|unknown|Unknown	http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/institutionCode	https://tdwg.github.io/mids/information-elements#Organization	dwc			Organization	Institution Code	Organization
